Z,T_init,alpha,max_iter,Cmax,Czas
1,10,0.85,100,311,0.07013297080993652
1,10,0.85,500,311,0.22147679328918457
1,10,0.85,1000,311,0.44367384910583496
1,10,0.9,100,311,0.06798100471496582
1,10,0.9,500,311,0.3398621082305908
1,10,0.9,1000,311,0.6799442768096924
1,10,0.95,100,311,0.1389789581298828
1,10,0.95,500,311,0.6933739185333252
1,10,0.95,1000,311,1.399327039718628
1,100,0.85,100,311,0.05521106719970703
1,100,0.85,500,311,0.27759885787963867
1,100,0.85,1000,311,0.5523808002471924
1,100,0.9,100,311,0.08552289009094238
1,100,0.9,500,311,0.43035888671875
1,100,0.9,1000,311,0.8570699691772461
1,100,0.95,100,311,0.17406201362609863
1,100,0.95,500,311,0.9267380237579346
1,100,0.95,1000,311,1.7499980926513672
1,1000,0.85,100,311,0.06702017784118652
1,1000,0.85,500,311,0.33651304244995117
1,1000,0.85,1000,311,0.6713559627532959
1,1000,0.9,100,311,0.1030428409576416
1,1000,0.9,500,311,0.5150699615478516
1,1000,0.9,1000,311,1.0308079719543457
1,1000,0.95,100,311,0.21034502983093262
1,1000,0.95,500,311,1.0770606994628906
1,1000,0.95,1000,311,2.216904878616333
1,10000,0.85,100,311,0.08354473114013672
1,10000,0.85,500,311,0.43115782737731934
1,10000,0.85,1000,311,0.8593642711639404
1,10000,0.9,100,311,0.12870287895202637
1,10000,0.9,500,311,0.639484167098999
1,10000,0.9,1000,311,1.2201342582702637
1,10000,0.95,100,311,0.24971580505371094
1,10000,0.95,500,311,1.2397911548614502
1,10000,0.95,1000,311,2.5596678256988525
42,10,0.85,100,272,0.042630910873413086
42,10,0.85,500,271,0.21441912651062012
42,10,0.85,1000,271,0.43164491653442383
42,10,0.9,100,272,0.07067108154296875
42,10,0.9,500,272,0.3391432762145996
42,10,0.9,1000,271,0.7259528636932373
42,10,0.95,100,271,0.13543391227722168
42,10,0.95,500,271,0.6937992572784424
42,10,0.95,1000,271,1.3828349113464355
42,100,0.85,100,271,0.05528402328491211
42,100,0.85,500,271,0.26577210426330566
42,100,0.85,1000,271,0.5352120399475098
42,100,0.9,100,272,0.0818018913269043
42,100,0.9,500,271,0.409268856048584
42,100,0.9,1000,271,1.2887780666351318
42,100,0.95,100,272,0.1668701171875
42,100,0.95,500,271,0.8697600364685059
42,100,0.95,1000,271,1.766221046447754
42,1000,0.85,100,276,0.06570005416870117
42,1000,0.85,500,271,0.32509732246398926
42,1000,0.85,1000,271,0.6719591617584229
42,1000,0.9,100,272,0.10373520851135254
42,1000,0.9,500,271,0.5718080997467041
42,1000,0.9,1000,271,1.1261842250823975
42,1000,0.95,100,271,0.20436310768127441
42,1000,0.95,500,271,1.0182268619537354
42,1000,0.95,1000,271,2.0846450328826904
42,10000,0.85,100,272,0.07624578475952148
42,10000,0.85,500,271,0.38156795501708984
42,10000,0.85,1000,271,0.7750570774078369
42,10000,0.9,100,272,0.12157225608825684
42,10000,0.9,500,271,0.58176589012146
42,10000,0.9,1000,271,1.1636910438537598
42,10000,0.95,100,272,0.23826932907104492
42,10000,0.95,500,271,1.2118408679962158
42,10000,0.95,1000,271,2.476489782333374
123,10,0.85,100,317,0.04362797737121582
123,10,0.85,500,317,0.22063183784484863
123,10,0.85,1000,317,0.435441255569458
123,10,0.9,100,317,0.06868600845336914
123,10,0.9,500,317,0.3363058567047119
123,10,0.9,1000,317,0.7060720920562744
123,10,0.95,100,317,0.14636683464050293
123,10,0.95,500,317,0.7469420433044434
123,10,0.95,1000,317,1.5344328880310059
123,100,0.85,100,317,0.05869007110595703
123,100,0.85,500,317,0.29651784896850586
123,100,0.85,1000,317,0.5960700511932373
123,100,0.9,100,317,0.09440088272094727
123,100,0.9,500,317,0.4485962390899658
123,100,0.9,1000,317,0.8536758422851562
123,100,0.95,100,317,0.17370104789733887
123,100,0.95,500,317,0.8742821216583252
123,100,0.95,1000,317,1.747056007385254
123,1000,0.85,100,317,0.06676506996154785
123,1000,0.85,500,317,0.3372368812561035
123,1000,0.85,1000,317,0.6677908897399902
123,1000,0.9,100,317,0.10236501693725586
123,1000,0.9,500,317,0.5116219520568848
123,1000,0.9,1000,317,1.024271011352539
123,1000,0.95,100,317,0.2166457176208496
123,1000,0.95,500,317,1.0473508834838867
123,1000,0.95,1000,317,2.1302828788757324
123,10000,0.85,100,317,0.08800292015075684
123,10000,0.85,500,317,0.41938018798828125
123,10000,0.85,1000,317,0.8351638317108154
123,10000,0.9,100,319,0.12058401107788086
123,10000,0.9,500,317,0.6122739315032959
123,10000,0.9,1000,317,1.2602348327636719
123,10000,0.95,100,317,0.2501711845397949
123,10000,0.95,500,317,1.2361419200897217
123,10000,0.95,1000,317,2.559777021408081
